LA (name),EstablishmentName,Postcode,Region,HE Provider,Biofuels (kWh),Biomass (kWh),Carbon allowance (tonnes CO2e),Carbon allowance bought or sold (tonnes CO2e),Coal (industrial) (kWh),Compressed natural gas (kWh),Cost (£),Electricity consumed from onsite CHP (kWh),Fuel oil (kWh),Gas oil (kWh),Grid electricity (kWh),Heat consumed from onsite CHP (kWh),Liquefied natural gas (kWh),Liquefied petroleum gas (kWh),Lubricants (kWh),Natural gas excluding that used as input for a CHP unit (kWh),Natural gas used as input for a CHP unit (kWh),Onsite photovoltaic (kWh),Onsite wind (kWh),Other onsite renewables (kWh),Other petroleum gas (kWh),Participation,Petroleum coke (kWh),Research income (£),Steam and hot water (kWh),Teaching income (£),Total energy consumption (kWh),Total energy generated onsite by CHP (kWh),Total expenditure (£),Total gross internal area (m2),Total income (£),Total percentage of renewable energy purchased through green tariffs (%),Total renewable energy generated onsite or offsite (kWh)
Staffordshire,Staffordshire University,ST4 2DE,West Midlands,Staffordshire University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,9423.46330,00,1074375311061847,00,0.0,00,00,79726248900310,00,125069104292,0.0,00,0.0,0.0,0.0,33170002015000.0,497812662658,1.48205000133295e+17,19348681.420735437,0,152903000138568000,107239107239,168075000150461000,0.0%0.0%0.0%0.0%,104292104292
,Swansea University,,,Swansea University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,042366,00,00,3046478329819099,014800,0.0,00,00,3116315131604840,0144977,457834343930,0.0,592812532647,0.0,0.0,0.0,8771300090292000.0,00,2.52517000211147e+17,6319548562832326,057166057166,348691000447629000,261217.48255212.25,412637000370086000,0.0%67.0%0.0%67.0%,10506468765771050646876577
Middlesbrough,Teesside University,TS1 3BA,North East,Teesside University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0555315,00,00,1181033212588946,0374470,0.0,00,00,1256956113645695,01767718,9748388862,0.0,00,0.0,0.0,0.0,94410006491000.0,00,1.75487000154387e+17,2447737627253288,09297850929785,197584000183469000,168648.9167206.93,210161000180253000,48.4%45.0%48.4%45.0%,97483888629748388862
"Bournemouth, Christchurch and Poole",Arts University Bournemouth,BH12 5HH,South West,The Arts University Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,2553071.442699925.7,00,0.0,00,00,28982983450485.607,00,7967472711.8,0.0,00,0.0,0.0,0.0,564000443000.0,00,4051100038216000.0,5531043.446223123.107,0000,5366400051046000,4904146589,5266000048820000,100.0%100.0%100.0%100.0%,7967472711.87967472711.8
Kensington and Chelsea,Institute of Cancer Research,SW3 6JB,London,The Institute of Cancer Research,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451728368,40002500,00,1289355513890797,445380592,0.0,00,00,1143480012608287,14728411183,5979366074,0.0,00,0.0,0.0,0.0,8419000085265000.0,00,1307400010456000.0,2528925626568618,0000,134937000163476000,4200042000,138641000161155000,100.0%100.0%100.0%100.0%,59793660745979366074
Manchester,The Manchester Metropolitan University,M15 6BH,North West,The Manchester Metropolitan University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206451095000,00,00,2183309620672630.96,3507801204500,0.0,00,00,2268635521602243.55,7473342881578.95,249152244083.6,0.0,0137108.73,0.0,0.0,0.0,2907000021912000.0,00,3.49011000327658e+17,4544002844955566.84,67142522995006714252299500,406190000382458000,268491.45270419.84,422046000393007000,46.8%45.8%46.8%45.8%,249152381192.33249152381192.33
,The National Film and Television School,,,The National Film and Television School,0.0,13324370.0,0.0,0.0,0.0,0.0,0.0,00,00,00,12420231300870,00,0.0,00,00,500271272287,00,00,0.0,00,0.0,0.0,0.0,13590001633000.0,00,1612200013081000.0,26244872573157,0000,2113800018501000,12424.0812424.08,2224600019228000,0.0%0.0%0.0%0.0%,0000
Nottinghamshire,The Nottingham Trent University,NG1 4BU,East Midlands,The Nottingham Trent University,0.0,5371891050971.0,0.0,0.0,0.0,0.0,0.0,64082795939768,00,00,2078232820659696,65248708429875,0.0,00,00,1780565312500289,1355981416429261,307659320906,0.0,00,0.0,0.0,0.0,1867500015177000.0,60364015527529,3.78976000363668e+17,5858910654718460,12933149143696431293314914369643,410481000395611000,242988.82241372.67,433949000404137000,37.0%39.3%37.0%39.3%,84484813755048448481375504
Milton Keynes,The Open University,MK7 6AA,South East,The Open University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,1223484112788294,00,0.0,00,00,1385116615396455,00,5414354647,0.0,127860127860,0.0,0.0,0.0,2790400024109000.0,00,5.08618000527386e+17,2626801028367256,0000,535109000777504000,129733130028,561944000553956000,0.0%0.0%0.0%0.0%,182003182507182003182507
Camden,Central School of Speech and Drama,NW3 3HY,London,The Royal Central School of Speech and Drama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,2580021920,00,780264.24800735,00,0.0,00,00,10890591062107,00,83926063,0.0,00,0.0,0.0,0.0,42540000.0,00,18127000.0,1903515.241890825,0000,237790000,1063410634,24027000,0.0%0.0%0.0%0.0%,839212126839212126
,The University of Aberdeen,,,The University of Aberdeen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57990008425299.999,00,155864.25132235.75,13392997.33810573081.617,2156750022032700,0.0,17677.815331.8,00,21659012.01320964654.138,30842409.80934440391.743,113955.8145626.6,0.0,663787,0.0,0.0,0.0,7669700073216000.0,7704040.6279080708.302,1.56904000154463e+17,70410710.82871370425.206,27366500304580002736650030458000,259370000313654000,267984.57267984.57,268635000260909000,88.0%86.8%88.0%86.8%,114491.8146413.6114491.8146413.6
Bath and North East Somerset,University of Bath,BA2 7AY,South West,The University of Bath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12263941756020.31,00,00,2375367725291423.43,20673491740786.162,0.0,00,00,3822035356565552.289,41346983647510.472,158393150704,0.0,00,0.0,0.0,0.0,7061500062480000.0,00,2.26901000233906e+17,6542616685504486.191,32937433496806.47232937433496806.472,361923000389835000,311179.13285466.95,362945000361782000,100.0%100.0%100.0%100.0%,158393150704158393150704
Birmingham,University of Birmingham,B15 2TT,West Midlands,The University of Birmingham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3966001536583621,00,298964183,3170483535606283,2933405325131832,0.0,140140,00,80411842103851252,10182685492460903,294385260229,0.0,00,0.0,0.0,0.0,2.49809000257169e+17,517669499154,5.0481900047174e+17,181925928201996694,6899406861747452.976899406861747452.97,8905240001042613000,569829.5550271.5,928716000887940000,0.0%100.0%0.0%100.0%,294385260229294385260229
Bradford,University of Bradford,BD7 1DP,Yorkshire and the Humber,The University of Bradford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41857435265814,00,00,59607545570723,47656056681598,0.0,00,00,15403404.7620105550.83,1144836414868547,39351.840000,0.0,00,0.0,0.0,0.0,994300010674000.0,00,1.55182000126771e+17,30354858.5637663685.83,912476912027250912476912027250,171444000167456000,116820.36109895.17,177114000145134000,0.0%0.0%0.0%0.0%,39351.84000039351.840000
Brighton and Hove,University of Brighton,BN2 4AT,South East,The University of Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122956310451,00,10742.50,13381092.613556936.3,211484530567,0.0,00,00,18201389.2622879313.42,4112241018810,622339.02497168,0.0,00,0.0,0.0,0.0,1762100013607000.0,00,1.48093000147011e+17,32550003.3837774435.72,146897841018146897841018,215061000214912000,241208.45238742.55,206163000193530000,42.0%36.0%42.0%36.0%,622339.02497168622339.02497168
"Bristol, City of",University of Bristol,BS8 1TH,South West,The University of Bristol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3539452135810,00,1021960306935,61754799.663567346,3431383179204,0.0,00,00,6474237665701870,11596736674406,362768313831,0.0,00,0.0,0.0,0.0,2.69758000245133e+17,00,4.85616000456086e+17,128578986.6135204996,69708353150146970835315014,837223000994276000,540044.478531502.75,934147000858485000,9.6%34.0%9.6%34.0%,11765796120282401176579612028240
Cambridgeshire,University of Cambridge,CB2 1TN,East of England,The University of Cambridge,0.0,148800138623.0,0.0,0.0,0.0,0.0,0.0,00,00,1192874979902,144071965144332542,00,0.0,00,00,104420613107224433,00,616954609254,0.0,00,0.0,0.0,0.0,7.13320000696106e+17,68217646774161,4.53908000429201e+17,257272970260058915,0,23178520002301047000,736892.54738889.79,25182550002218748000,0.0%0.0%0.0%0.0%,25173754250999762517375425099976
Lancashire,University of Central Lancashire,PR1 2HE,North West,The University of Central Lancashire,0.0,11515000.0,0.0,0.0,0.0,0.0,0.0,00,00,00,1675800324092856,00,0.0,138159178798.32,00,2239835524878283,00,187593134034.684,35623562.0,15171517,0.0,0.0,0.0,1708300015043000.0,00,2.37192000230253e+17,4063868949289051.004,0000,297579000277163000,204768.86198431.9,292494000277957000,40.0%40.0%40.0%40.0%,187593139113.684187593139113.684
,The University of Chichester,,,The University of Chichester,0.0,168448168448.0,0.0,0.0,0.0,0.0,0.0,00,0231826,00,4196245.83821379,00,0.0,00,00,6801186.257064290,00,4326743267,0.0,00,0.0,0.0,0.0,19980001728000.0,00,4833500048186000.0,11209147.0511329210,0000,6591600064539000,83524.80681874.711,6595900063787000,100.0%100.0%100.0%100.0%,43267432674326743267
,The University of Dundee,,,The University of Dundee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00,00,34776877258325,0,0.0,00,00,6907461067813053,1726865316953263,1300013000,0.0,00,0.0,0.0,0.0,1.0017000093548e+16,0,1.83066000162156e+17,0,0,320922000345433000,201910201910,325710000291992000,0,13000130001300013000
Norfolk,University of East Anglia,NR4 7TJ,East of England,The University of East Anglia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2360000023752657,00,40080,57209697671217,1623200039787774,0.0,00,00,274179877877422,6155721687925230,324927228537,0.0,00,0.0,0.0,0.0,8023600072492000.0,00,1.89625000189332e+17,7329989179317607,46889725635424314688972563542431,339060000395582000,285317.41284712.27,345506000321428000,100.0%8.0%100.0%8.0%,324927240497324927240497
Newham,University of East London,E16 2RD,London,The University of East London,0.0,1544722187.0,0.0,0.0,0.0,0.0,0.0,00,00,00,1136156511382834,00,0.0,00,00,1172150913016524,00,6893951224,0.0,00,0.0,0.0,0.0,52280005315000.0,00,2.15065000165267e+17,2316746024472769,0000,239474000181787000,119799.47119799.47,247961000191974000,49.0%47.0%49.0%47.0%,84386734118438673411
,The University of Edinburgh,,,The University of Edinburgh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2784038437455826,00,271398871304,119499826107810074,7252197469637382,0.0,7970775791,00,4825736354068814,142475399174727825,1199330114388,0.0,125674121299,0.0,0.0,0.0,4.4443500042257e+17,1140484612005067,6.19693000604322e+17,281200502282159945,100362358107093208100362358107093208,12275190001389038000,931987929082,13847280001297443000,28.0%30.3%28.0%30.3%,13250042356871325004235687
Essex,University of Essex,CO4 3SQ,East of England,The University of Essex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,2055501320112671,00,0.0,00,00,3077824334833445,00,1051038554958,0.0,00,0.0,0.0,0.0,4889800039633000.0,00,2.12857000193214e+17,5238429455501074,0000,312308000326120000,286606.71285009.71,334057000284356000,41.2%37.0%41.2%37.0%,10510385549581051038554958
Devon,University of Exeter,EX4 4QJ,South West,The University of Exeter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823598.511823598.511,00,1236997.5991906063.312,30449158.23430657323.822,932295.475932295.475,0.0,00,00,30360220.41639666043.367,2215838.6832215838.683,773590.38580450.588,0.0,00,0.0,0.0,0.0,1.57404000134928e+17,00,3.76375000361228e+17,64575860.61574565775.075,2557285255728525572852557285,604052000685468000,304124.66284257.4,632916000586924000,49.1%41.1%49.1%41.1%,6863422.0273137735.5886863422.0273137735.588
,The University of Glasgow,,,The University of Glasgow,0.0,592800.0,0.0,0.0,0.0,0.0,0.0,13567253.659775396.487,00,235440337451.4,49552710.9353607768,13408921.169969355.312,0.0,00,00,66558477.8267912756.966,34598522.5925624215.484,68847.4921982.77,0.0,00,0.0,0.0,0.0,2.87182000256318e+17,00,5.30452000499465e+17,143450931.05141624710.935,26976174.819744751.79826976174.819744751.798,8314390001002724000,513238.62518509.12,952196000929358000,0.0%0.0%0.0%0.0%,128127.4921982.77128127.4921982.77
Greenwich,University of Greenwich,SE10 9LS,London,The University of Greenwich,12723771857450.0,438580822430.0,0.0,0.0,0.0,0.0,0.0,873277931650,00,00,1364274313633291,399100925800,0.0,00,00,1506412214630232,00,7479981982,0.0,00,0.0,0.0,0.0,2279100018065000.0,00,2.50682000230556e+17,3176499832882835,1272377185745012723771857450,296026000258006000,145764.41143065.78,307017000272201000,0.0%0.0%0.0%0.0%,74799336607479933660
Kirklees,University of Huddersfield,HD1 3DH,Yorkshire and the Humber,The University of Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196578222738.9,110787748,00,1197079412096914,405091473320.1,0.0,00,00,1257248312734308.311,630568740488.368,14371789075,0.0,00,0.0,0.0,0.0,2708200021774000.0,00,1.49833000151422e+17,2529974125624104.311,601669696059601669696059,196378000192141000,125546.52127631.13,188918000182938000,0.0%0.0%0.0%0.0%,1437178907514371789075
"Kingston upon Hull, City of",University of Hull,HU6 7RX,Yorkshire and the Humber,The University of Hull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224886224886,00,5246.7615497.3,1612680115868723,359818359818,0.0,00,00,2201674824626624,665663665663,205529224502,0.0,00,0.0,0.0,0.0,2288900020478000.0,00,1.45354000142881e+17,38939028.7641320050.3,584704584704584704584704,207805000229647000,200774198044,208506000198150000,100.0%100.0%100.0%100.0%,205529224502205529224502
Kent,University of Kent,CT2 7NZ,South East,The University of Kent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,4649.18119744.331,00,18358639.69718778113.333,00,0.0,00,00,35622755.72938248709.766,00,169430178093,0.0,00,0.0,0.0,0.0,34272000.0,00,171239000.0,54155474.60757224660.43,0000,326652000,255556.22256011.25,260378000,0.0%0.0%0.0%0.0%,169430178093169430178093
Lancashire,University of Lancaster,LA1 4YW,North West,The University of Lancaster,0.0,18357911721000.0,0.0,0.0,0.0,0.0,0.0,856617112603195,00,00,2027761818302312,57717147698000,0.0,00,00,4184989637112879,2124411837068221,88887158402,12027353193261.0,00,0.0,0.0,0.0,7569700072165000.0,00,2.20478000213347e+17,7959281280789049,14337885203011951433788520301195,345936000398906000,332733331228,381775000357886000,0.0%0.0%0.0%0.0%,3127413507266331274135072663
Leeds,University of Leeds,LS2 9JT,Yorkshire and the Humber,The University of Leeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39003967.44834726195.784,00,167045.4296725.8,32710894.41240648506.576,15070296.97815352936.809,0.0,00,00,83077274.91891356671.202,118476809.0799613364.847,44641.6549737,0.0,00,0.0,0.0,0.0,2.42375000226021e+17,3274082.4053769461.031,5.56758000547023e+17,173348203.211186200234.202,54074264.42650079132.59354074264.42650079132.593,9124530001048952000,614739.644619659.761,985279000929535000,41.0%41.0%41.0%41.0%,44641.654973744641.6549737
Leicester,University of Leicester,LE1 7RH,East Midlands,The University of Leicester,0.0,834912657600.0,0.0,0.0,0.0,0.0,0.0,553473295095,2947522538,00,3297309534165143,860526306717,0.0,00,00,2357881724487219,1779416625537,128244100361,0.0,00,0.0,0.0,0.0,9169800083432000.0,2401224723989146,2.15215000205573e+17,8294426184523819,14139996018121413999601812,357984000399792000,378259.82323544.93,368999000340226000,14.0%13.0%14.0%13.0%,963156757961963156757961
Lincolnshire,University of Lincoln,LN6 7TS,East Midlands,The University of Lincoln,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,430116.2608131.67,1716318817641429.06,00,0.0,62637.1271501.15,00,1582312317066828.565,00,231333246173,0.0,00,0.0,0.0,0.0,2167200019051000.0,00,1.82657000157321e+17,33710397.3235634063.445,0000,234388000203623000,255849.026253506.909,240374000215181000,0.0%49.9%0.0%49.9%,231333246173231333246173
Liverpool,University of Liverpool,L69 7ZX,North West,The University of Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2644943250015833,00,62002.843351.2,4059302622937017,5420931173612806,0.0,00,00,7621161958415852,69017055130118385,70127012,0.0,00,0.0,0.0,0.0,1.60641000146602e+17,00,3.94481000358365e+17,197532402.8205031871.2,9035204650015833.19035204650015833.1,664837000756073000,498462498076,675158000614928000,20.6%8.8%20.6%8.8%,701222944029701222944029
,The University of Manchester,,,The University of Manchester,0.0,0.0,0.0,0.0,135741686.27,147275565.989,0.0,14300558.415557367.99,00,707295.6444701.8,90923556.926100289794.463,10146285.0932941798.953,0.0,00,00,00,51493546.90220259967.617,85066.8879377.41,0.0,00,0.0,0.0,0.0,3.6740800035163e+17,00,7.47805000693598e+17,251904449.179256588606.605,24446843.5038499166.94324446843.5038499166.943,12378760001316976000,889095.19997957.03,13446650001217127000,0.0%0.0%0.0%0.0%,85066.8879377.4185066.8879377.41
West Northamptonshire,University of Northampton,NN2 7AL,East Midlands,The University of Northampton,0.0,33591273359127.0,0.0,0.0,0.0,0.0,0.0,242264242264,00,00,81754618175461,340252.9340252.9,0.0,00,00,77853987785398,773302773302,2217422174,0.0,00,0.0,0.0,0.0,0.0,00,0.0,19924676.919924676.9,582517582517582517582517,0,98960133233,0,41.0%41.0%41.0%41.0%,3381301338130133813013381301
Oxfordshire,University of Oxford,OX1 2JD,South East,The University of Oxford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362705.553506926,00,660973.6572474.2,116630141.547114861913.27,568582794718,0.0,00,00,110247686106255508.99,11388501591792,312054316071.21,0.0,00,0.0,0.0,0.0,9.53242000865707e+17,00,5.69293000518568e+17,228782142.7223307611.67,931287.5531301644931287.5531301644,25811790002897326000,676125.098666881,29246820002775240000,100.0%100.0%100.0%100.0%,312054316071.21312054316071.21
Portsmouth,University of Portsmouth,PO1 2UP,South East,The University of Portsmouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,1793346317002286.5,00,0.0,00,00,1355578314731479.028,00,26021023.722,0.0,38192.7238192.719,0.0,0.0,0.0,2461800019677000.0,00,2.59098000254084e+17,31787648.7231771981.969,0000,314822000281814000,178587.14181160.85,312438000290521000,100.0%100.0%100.0%100.0%,26021043561.16426021043561.164
Wokingham,University of Reading,RG6 6UR,South East,The University of Reading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2812538.0022478244,00,00,15172820.18216523199,3723727.2772588508,0.0,00,00,19819539.4324218956,10298783.0888215145,696832740532,0.0,23783088130,0.0,0.0,0.0,5426300058140000.0,00,2.13806000201724e+17,44074131.99948130229,6536265.27961228446536265.2796122844,344997000406535000,204502.82207456.99,337802000316857000,100.0%100.0%100.0%100.0%,934662828662934662828662
Salford,University of Salford,M5 4WT,North West,The University of Salford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,1618047314384227,00,0.0,00,00,1248650813101204,00,637709999,0.0,00,0.0,0.0,0.0,1305600011187000.0,00,2.29779000212836e+17,2873075127495430,0000,248488000264345000,154250154250,268381000247881000,0.0%0.0%0.0%0.0%,637709999637709999
Sheffield,University of Sheffield,S10 2TN,Yorkshire and the Humber,The University of Sheffield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1624676213030636,00,00,4928694246449925.92,1550810016271462,0.0,00,00,3407400734707261.12,4891597050746034.11,13127881149.87,965000.0,1e+061098013,0.0,0.0,0.0,2.53808000251805e+17,1790800018473000,4.53842000427393e+17,134237463131731800.88,31754862293020983175486229302098,794984000892989000,524719.68516433.63,886951000822397000,36.7%34.7%36.7%34.7%,1131278214416311312782144163
Southampton,University of Southampton,SO17 1BJ,South East,The University of Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2279611023645720,635811.33972432,00,24769732.64722719980.889,1847596014742880,0.0,00,00,32145015.04635159526.787,60381465.69862130712.682,14958.34116208.3,0.0,00,0.0,0.0,0.0,1.77550000167403e+17,1506312.2631796171.152,3.98105000356447e+17,100343899.63698152919.128,41272070383886004127207038388600,644226000737823000,474677.559451840.325,730044000672831000,20.7%20.7%,14958.34114958.341
,The University of St. Andrews,,,The University of St. Andrews,0.0,1965002014358464.0,0.0,0.0,0.0,0.0,0.0,1549334561800,00,086950,2823738427953204,1570988449584,0.0,00,00,2953664542179850,51201441401150,525721313097,0.0,00,0.0,0.0,0.0,6707400071191000.0,00,1.73336000163703e+17,8107009285902949,3120322101138431203221011384,300532000338430000,286622.08285378.24,322445000313650000,100.0%100.0%100.0%100.0%,525721313917525721313917
,The University of Stirling,,,The University of Stirling,0.0,891208891208.0,0.0,0.0,0.0,0.0,0.0,97101928911057,00,6610271401.6,64438576312242,102743019613802,0.0,00,00,2068881820153078.75,2399051224526251.25,00,0.0,00,0.0,0.0,0.0,2700800027857000.0,00,1.09169000101977e+17,4863210246444311.35,19984493182360571998449318236057,151186000168652000,177543168930.079,169700000155255000,100.0%100.0%100.0%100.0%,00
,The University of Strathclyde,,,The University of Strathclyde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2494620022350600,00,305736295514,1880002218811729,2119940020176900,0.0,00,00,3431965843770405,6369037058434500,97919121884,0.0,00,0.0,0.0,0.0,1.43754000133894e+17,00,2.23633000208317e+17,99676155105555035,46145600425275004614560042527500,402174000520441000,372451358283,487362000387802000,100.0%100.0%100.0%100.0%,9791912188497919121884
Sunderland,University of Sunderland,SR1 3SD,North East,The University of Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,1134767510887505,00,0.0,00,00,1062699610500135,00,31695095859,0.0,00,0.0,0.0,0.0,31270002653000.0,00,2.01602000184079e+17,2229162121483499,0000,230285000202079000,138192.23138162.52,227184000199855000,0,3169509585931695095859
Surrey,University of Surrey,GU2 7XH,South East,The University of Surrey,0.0,217280.0,0.0,0.0,0.0,0.0,0.0,00,00,3948044660,3160148731588050,00,0.0,12715711106,00,4171036643157776,00,45583024,0.0,00,0.0,0.0,0.0,6421300059854000.0,00,1.77334000180131e+17,7348304875021896,0000,323315000376912000,324152.57325713.95,316331000305319000,0.0%75.0%0.0%75.0%,45882203044588220304
Brighton and Hove,University of Sussex,BN1 9RH,South East,The University of Sussex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6176223.988727939,00,00,17484844.715669885.6,9814340.0211494338,0.0,00,00,31786995.4430486582,1599065420222277,670438.5756204.2,0.0,00,0.0,0.0,0.0,6508400054892000.0,00,2.39592000224583e+17,65932842.6467134948.8,6176223.9887279396176223.988727939,343489000377310000,306248.83314981.019,380169000346246000,100.0%100.0%100.0%100.0%,670438.5756204.2670438.5756204.2
,The University of the West of Scotland,,,The University of the West of Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,104003877183149,00,0.0,00,00,99462528613614.22,00,84258902,0.0,00,0.0,0.0,0.0,8406000.0,00,142307000.0,2035506415805665.22,0000,145161000,128867.17128140.71,155908000,0.0%0.0%0.0%0.0%,8245890282458902
Coventry,University of Warwick,CV4 8UW,West Midlands,The University of Warwick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35106507.136550140.629,00,00,32720544.8532343285.184,24979884.6833388288.249,0.0,38752.7535696.66,00,66570947.1165405886.761,99081006.51107579047.499,438057.16411531.48,0.0,00,0.0,0.0,0.0,1.88037000181148e+17,00,4.84285000457043e+17,159854693.65168134828.963,64889407.2874064469.72164889407.2874064469.721,731969000870111000,579302.64584629.88,839419000778958000,0.0%50.0%0.0%50.0%,941590710882.19941590710882.19
Ealing,University of West London,W5 5RF,London,The University of West London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,7291699.577160050,00,0.0,00,00,1427640.172840422,00,111855113940,0.0,24780631790857,0.0,0.0,0.0,17780001446000.0,00,1.71838000148945e+17,11309257.7411905269,0000,186593000156365000,54658.354681.27,204603000172873000,0.0%0.0%0.0%0.0%,2589818190479725898181904797
Westminster,University of Westminster,W1B 2UW,London,The University of Westminster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,1244788111905520,00,0.0,00,00,1916526821440341,00,00,0.0,00,0.0,0.0,0.0,123000009207000.0,00,2.17726000211054e+17,3161314933345861,0000,238205000225576000,155914.07163970.9,260420000243013000,100.0%100.0%100.0%100.0%,29995602999560
Hampshire,University of Winchester,SO22 4NR,South East,The University of Winchester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2323847781,00,00,53762384996148,4608977549,0.0,00,00,50770095651759,80116164536,212607158825,0.0,00,0.0,0.0,0.0,19820001315000.0,00,6806500071168000.0,1073518110932062,6932712533069327125330,8905500086200000,7779977807,8560000086295000,53.0%86.0%53.0%86.0%,216.209158825216.209158825
York,University of York,YO10 5DD,Yorkshire and the Humber,The University of York,0.0,1710192.0,0.0,0.0,0.0,0.0,0.0,21092639.29520670902.594,00,4240304474.4,1593143418288194.744,16491102.30114728366.528,0.0,00,00,46455928.25846785553.411,51563378.83349866872.245,1875919252.3,0.0,00,0.0,0.0,0.0,1.30084000106041e+17,00,2.82429000277937e+17,99994102.854102506935.977,37583741.59635399269.12237583741.59635399269.122,514634000556663000,385148.129384456.513,518675000472167000,0,187591898194.3187591898194.3
,Trinity Laban Conservatoire of Music and Dance,,,Trinity Laban Conservatoire of Music and Dance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,1806160.611750558.89,00,0.0,00,00,23330962256199.3,00,00,0.0,00,0.0,0.0,0.0,430000412000.0,00,2091200020370000.0,4139256.614006758.19,0000,2902400030432000,18836.618836.6,2678700027749000,0.0%0.0%0.0%0.0%,0000
,Ulster University,,,Ulster University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,62683.634558829,1636940714788192,00,0.0,00,00,2479147926671960,00,6147790751,22444012304098.0,00,0.0,0.0,0.0,5447600047543000.0,00,2.01995000191569e+17,44512448.6348428208,0000,268969000300474000,249544.82255763.09,281451000259474000,12.7%12.7%12.7%12.7%,2917503314373529175033143735
Birmingham,University College Birmingham,B3 1JB,West Midlands,University College Birmingham,0.0,0.0,0.0,0.0,33.84,0.0,0.0,0,0,0,7918911,0,0.0,0,0,7075857,0,0,0.0,0,0.0,0.0,0.0,0.0,0,64991000.0,14994801.84,00,70132000,80524.5,73160000,0,88472.688472.6
Camden,University College London,WC1E 6BT,London,University College London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24429615009888,514384.93751545.304,00,118958437.481114667169.49,1112412.6422975500,0.0,00,18601.05777720.534,110521753.599105810268.165,8154042.37517177106,465921122250,0.0,00,0.0,0.0,0.0,6.93422000684139e+17,8829465.7454778982.4,9.81988000841195e+17,242863937.454234193323.893,0798538807985388,17520460001988345000,694356.07677158.77,19683440001751779000,47.6%44.3%47.6%44.3%,465921122250465921122250
Surrey,University for the Creative Arts,GU9 7DS,South East,University for the Creative Arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,69722926986119.78,00,0.0,00,00,76853479421949,00,4100040000,0.0,00,0.0,0.0,0.0,2169000591000.0,00,1.0772400087064e+16,1469863916448068.78,0000,12504400097439000,91760.5686458.819,12318900099973000,0.0%0.0%0.0%0.0%,1387000138600013870001386000
Luton,University of Bedfordshire,LU1 3JU,East of England,University of Bedfordshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306117155113,00,00,66251657028578,607444309001,0.0,00,00,56290709161968,601209313331,134094132583,0.0,00,0.0,0.0,0.0,52430006015000.0,00,1.35027000128509e+17,1330189016787243,913561464114913561464114,144786000139543000,9545296833,153148000145831000,100.0%100.0%100.0%100.0%,134094132583134094132583
Cheshire West and Chester,University of Chester,CH1 4BJ,North West,University of Chester,0.0,0.0,0.0,0.0,161215200.0,19994857.0,0.0,00,00,00,15877631.1516572604,00,0.0,00,00,00,00,188869.1331354,0.0,00,0.0,0.0,0.0,0.0,1261935613504494,0.0,44807376.2550403309,0000,0,205199.36200992.43,0,13.4%13.4%13.4%13.4%,188869.1331354188869.1331354
