"UKPRN","HE provider","Total energy consumption (kWh)","Total fuel used in HE provider owned vehicles (litres)","Total generation of electricity exported to grid (kWh)","Total water consumption (m3)","Total renewable energy generated onsite or offsite (kWh)"
"10003956","Liverpool Hope University","12,712,136.515","3,909.090","0.000","48,273.000","127,914.530"
"10003957","Liverpool John Moores University","29,311,184.000","29,757.000","0.000","42,068.000","11,223.000"
"10006842","The University of Liverpool","197,532,402.800","34,252.640","0.000","328,241.570","7,012.000"
"10003958","Liverpool School of Tropical Medicine","10,014,651.120","0.000","12,325.500","5,957.810","12,325.500"
"10007162","University of the Arts, London","29,988,468.940","458.817","0.000","113,508.000","2,360,480.569"
"10007797","University of London (Institutes and activities)","19,537,274.000","0.000","0.000","55,163.000",""
"10004048","London Metropolitan University","14,619,034.000","566.950","0.000","52,084.000","10,666.000"
"10004078","London South Bank University","22,215,264.686","656.000","0.000","68,663.000","0.000"
"10004063","London School of Economics and Political Science","38,263,359.000","0.000","0.000","178,154.000","101,514.000"
"10007771","London School of Hygiene and Tropical Medicine","8,084,886.100","0.000","0.000","20,475.000",""
"10004113","Loughborough University","101,083,143.075","26,934.000","0.000","282,795.000","0.000"
"10004180","The Manchester Metropolitan University","45,440,028.000","5,877.620","0.000","145,453.000","249,152.000"
"10007798","The University of Manchester","251,904,449.179","47,355.170","4,233,321.840","753,082.754","85,066.880"
"10004351","Middlesex University","16,117,346.000","2,633.000","0.000","42,572.000","73,398.000"
"10007799","Newcastle University","110,082,796.510","124,874.740","0.000","294,287.090","189,917.000"
"10007138","The University of Northampton","19,924,676.900","136,233.000","8,287.190","193,474.334","3,381,301.000"
"10001282","University of Northumbria at Newcastle","44,951,128.000","4,565.292","0.000","157,503.000","286,646.000"
"10004775","Norwich University of the Arts","3,788,502.000","568.780","0.000","7,952.000",""
"10007154","University of Nottingham","179,045,801.000","23,678.000","0.000","598,786.000","584,092.000"
"10004797","The Nottingham Trent University","58,589,106.000","29,185.217","0.000","80,262.550","844,848.000"
"10007773","The Open University","26,268,010.000","8,917.480","0.000","27,776.000","182,003.000"
"10004930","Oxford Brookes University","34,823,841.000","12,619.000","0.000","129,171.000","326,579.000"
"10007774","The University of Oxford","228,782,142.700","126,611.000","0.000","298,396.000","312,054.000"
"10007801","University of Plymouth","26,213,027.000","18,788.590","0.000","67,320.670","95,786.000"
"10007155","The University of Portsmouth","31,787,648.720","19,562.500","0.000","117,769.000","260,210.000"
"10005337","Queen Margaret University, Edinburgh","9,383,446.900","1,200.000","0.000","55,543.000","0.000"
"10007775","Queen Mary University of London","60,401,992.600","4,358.000","0.000","238,826.210","61,157.000"
"10007802","The University of Reading","44,074,131.999","22,525.000","0.000","174,047.599","934,662.000"
"10005500","Robert Gordon University","25,658,765.450","5,320.100","0.000","54,895.000","895,306.940"
"10005523","Rose Bruford College of Theatre and Performance","2,304,690.000","0.000","0.000","11,339.050","1.000"
"10007777","Royal College of Art","10,769,896.493","0.000","0.000","19,164.150","0.000"
"10007778","Royal College of Music","3,011,434.000","0.000","0.000","3,959.000",""
"10007816","The Royal Central School of Speech and Drama","1,903,515.240","0.000","8,392.000","4,479.000","8,392.000"
"10005553","Royal Holloway and Bedford New College","38,879,206.900","10,528.670","8,636.000","239,699.000","93,676.000"
"10007803","The University of St. Andrews","81,070,092.000","37,872.090","0.000","333,902.000","525,721.000"
"10007782","St George's, University of London","23,181,423.000","0.000","307,386.720","45,988.000","0.000"
"10008026","St Mary's University College","1,658,421.000","0.000","0.000","5,396.000",""
"10007843","St Mary's University, Twickenham","10,565,084.100","2,053.000","650.000","36,673.000",""
"10007156","The University of Salford","28,730,751.000","3,187.000","0.000","85,221.000","63,770.000"
"10007780","SOAS University of London","5,062,681.000","0.000","0.000","12,442.457","0.000"
"10005700","SRUC","","","","",""
"10005790","Sheffield Hallam University","34,894,032.000","6,875.990","0.000","69,218.000","51,468.000"
"10007157","The University of Sheffield","134,237,463.000","31,883.000","23,000.000","453,861.000","1,131,278.000"
"10006022","Solent University","11,092,573.410","8,688.760","0.000","61,552.000",""
"10007158","The University of Southampton","100,343,899.636","45,147.000","0.000","373,053.584","14,958.341"
"10006299","Staffordshire University","19,348,681.400","3,551.590","0.000","44,554.000",""
"10007804","The University of Stirling","48,632,102.000","14,493.880","0.000","157,912.000","0.000"
"10037449","University of St Mark and St John","5,399,526.000","500.000","0.000","96,064.000","327,890.000"
"10007805","The University of Strathclyde","99,676,155.000","23,555.000","0.000","185,742.000","97,919.000"
"10014001","University of Suffolk","3,824,399.000","264.650","0.000","14,316.000","50,091.000"
"10007159","The University of Sunderland","22,291,621.000","5,436.900","0.000","80,229.000","316,950.000"
