HE Provider,Academic Year,Region of HE provider,Category marker,Category,Value
The University of Aberdeen,2022/23,Scotland,Gross internal area,Total gross internal area (m2),267984.57
The University of Aberdeen,2022/23,Scotland,Gross internal area,Non-residential (m2),201867.56
The University of Aberdeen,2022/23,Scotland,Gross internal area,Residential (m2),66117.01
Abertay University,2022/23,Scotland,Gross internal area,Total gross internal area (m2),39004
Abertay University,2022/23,Scotland,Gross internal area,Non-residential (m2),39004
Abertay University,2022/23,Scotland,Gross internal area,Residential (m2),0
Aberystwyth University,2022/23,Wales,Gross internal area,Total gross internal area (m2),260123.43
Aberystwyth University,2022/23,Wales,Gross internal area,Non-residential (m2),168947.23
Aberystwyth University,2022/23,Wales,Gross internal area,Residential (m2),91176.2
Anglia Ruskin University,2022/23,East of England,Gross internal area,Total gross internal area (m2),131093.24
Anglia Ruskin University,2022/23,East of England,Gross internal area,Non-residential (m2),106374.6
Anglia Ruskin University,2022/23,East of England,Gross internal area,Residential (m2),24718.64
Aston University,2022/23,West Midlands,Gross internal area,Total gross internal area (m2),112595
Aston University,2022/23,West Midlands,Gross internal area,Non-residential (m2),112595
Aston University,2022/23,West Midlands,Gross internal area,Residential (m2),0
Bangor University,2022/23,Wales,Gross internal area,Total gross internal area (m2),234102.195
Bangor University,2022/23,Wales,Gross internal area,Non-residential (m2),162691.94
Bangor University,2022/23,Wales,Gross internal area,Residential (m2),71410.255
Bath Spa University,2022/23,South West,Gross internal area,Total gross internal area (m2),72857.15
Bath Spa University,2022/23,South West,Gross internal area,Non-residential (m2),52244.15
Bath Spa University,2022/23,South West,Gross internal area,Residential (m2),20613
The University of Bath,2022/23,South West,Gross internal area,Total gross internal area (m2),311179.13
The University of Bath,2022/23,South West,Gross internal area,Non-residential (m2),186847.25
The University of Bath,2022/23,South West,Gross internal area,Residential (m2),124331.88
University of Bedfordshire,2022/23,East of England,Gross internal area,Total gross internal area (m2),95452
University of Bedfordshire,2022/23,East of England,Gross internal area,Non-residential (m2),95452
University of Bedfordshire,2022/23,East of England,Gross internal area,Residential (m2),0
Queen's University Belfast,2022/23,Northern Ireland,Gross internal area,Total gross internal area (m2),425595
Queen's University Belfast,2022/23,Northern Ireland,Gross internal area,Non-residential (m2),328079
Queen's University Belfast,2022/23,Northern Ireland,Gross internal area,Residential (m2),97516
Birkbeck College,2022/23,London,Gross internal area,Total gross internal area (m2),47804
Birkbeck College,2022/23,London,Gross internal area,Non-residential (m2),47804
Birkbeck College,2022/23,London,Gross internal area,Residential (m2),0
Birmingham City University,2022/23,West Midlands,Gross internal area,Total gross internal area (m2),157747
Birmingham City University,2022/23,West Midlands,Gross internal area,Non-residential (m2),157747
Birmingham City University,2022/23,West Midlands,Gross internal area,Residential (m2),0
The University of Birmingham,2022/23,West Midlands,Gross internal area,Total gross internal area (m2),569829.5
The University of Birmingham,2022/23,West Midlands,Gross internal area,Non-residential (m2),444017.7
The University of Birmingham,2022/23,West Midlands,Gross internal area,Residential (m2),125811.8
University College Birmingham,2022/23,West Midlands,Gross internal area,Total gross internal area (m2),80524.5
University College Birmingham,2022/23,West Midlands,Gross internal area,Non-residential (m2),57746
University College Birmingham,2022/23,West Midlands,Gross internal area,Residential (m2),22778.5
Bishop Grosseteste University,2022/23,East Midlands,Gross internal area,Total gross internal area (m2),25929.374
Bishop Grosseteste University,2022/23,East Midlands,Gross internal area,Non-residential (m2),16030.71
Bishop Grosseteste University,2022/23,East Midlands,Gross internal area,Residential (m2),9898.664
The Arts University Bournemouth,2022/23,South West,Gross internal area,Total gross internal area (m2),49041
The Arts University Bournemouth,2022/23,South West,Gross internal area,Non-residential (m2),30486
The Arts University Bournemouth,2022/23,South West,Gross internal area,Residential (m2),18555
Bournemouth University,2022/23,South West,Gross internal area,Total gross internal area (m2),95233
Bournemouth University,2022/23,South West,Gross internal area,Non-residential (m2),88822
Bournemouth University,2022/23,South West,Gross internal area,Residential (m2),6411
The University of Bradford,2022/23,Yorkshire and The Humber,Gross internal area,Total gross internal area (m2),116820.36
The University of Bradford,2022/23,Yorkshire and The Humber,Gross internal area,Non-residential (m2),116820.36
The University of Bradford,2022/23,Yorkshire and The Humber,Gross internal area,Residential (m2),0
The University of Brighton,2022/23,South East,Gross internal area,Total gross internal area (m2),241208.45
The University of Brighton,2022/23,South East,Gross internal area,Non-residential (m2),161283.85
The University of Brighton,2022/23,South East,Gross internal area,Residential (m2),79924.6
The University of Bristol,2022/23,South West,Gross internal area,Total gross internal area (m2),540044.478
The University of Bristol,2022/23,South West,Gross internal area,Non-residential (m2),407356.958
The University of Bristol,2022/23,South West,Gross internal area,Residential (m2),132687.52
Brunel University London,2022/23,London,Gross internal area,Total gross internal area (m2),254892.364
Brunel University London,2022/23,London,Gross internal area,Non-residential (m2),139506.565
Brunel University London,2022/23,London,Gross internal area,Residential (m2),115385.799
Buckinghamshire New University,2022/23,South East,Gross internal area,Total gross internal area (m2),70455.39
Buckinghamshire New University,2022/23,South East,Gross internal area,Non-residential (m2),49764.87
Buckinghamshire New University,2022/23,South East,Gross internal area,Residential (m2),20690.52
The University of Cambridge,2022/23,East of England,Gross internal area,Total gross internal area (m2),736892.54
The University of Cambridge,2022/23,East of England,Gross internal area,Non-residential (m2),736892.54
The University of Cambridge,2022/23,East of England,Gross internal area,Residential (m2),0
The Institute of Cancer Research,2022/23,London,Gross internal area,Total gross internal area (m2),42000
The Institute of Cancer Research,2022/23,London,Gross internal area,Non-residential (m2),42000
The Institute of Cancer Research,2022/23,London,Gross internal area,Residential (m2),0
Canterbury Christ Church University,2022/23,South East,Gross internal area,Total gross internal area (m2),126739.512
Canterbury Christ Church University,2022/23,South East,Gross internal area,Non-residential (m2),95894.212
Canterbury Christ Church University,2022/23,South East,Gross internal area,Residential (m2),30845.3
Cardiff University,2022/23,Wales,Gross internal area,Total gross internal area (m2),545578
Cardiff University,2022/23,Wales,Gross internal area,Non-residential (m2),428736
Cardiff University,2022/23,Wales,Gross internal area,Residential (m2),116842
Cardiff Metropolitan University,2022/23,Wales,Gross internal area,Total gross internal area (m2),97041
Cardiff Metropolitan University,2022/23,Wales,Gross internal area,Non-residential (m2),78977
Cardiff Metropolitan University,2022/23,Wales,Gross internal area,Residential (m2),18064
The University of Central Lancashire,2022/23,North West,Gross internal area,Total gross internal area (m2),204768.86
The University of Central Lancashire,2022/23,North West,Gross internal area,Non-residential (m2),172970.47
The University of Central Lancashire,2022/23,North West,Gross internal area,Residential (m2),31798.39
University of Chester,2022/23,North West,Gross internal area,Total gross internal area (m2),205199.36
University of Chester,2022/23,North West,Gross internal area,Non-residential (m2),161842.64
University of Chester,2022/23,North West,Gross internal area,Residential (m2),43356.72
The University of Chichester,2022/23,South East,Gross internal area,Total gross internal area (m2),83524.806
The University of Chichester,2022/23,South East,Gross internal area,Non-residential (m2),52469.915
The University of Chichester,2022/23,South East,Gross internal area,Residential (m2),31054.891
"City, University of London",2022/23,London,Gross internal area,Total gross internal area (m2),125676.51
"City, University of London",2022/23,London,Gross internal area,Non-residential (m2),125676.51
"City, University of London",2022/23,London,Gross internal area,Residential (m2),0
Coventry University,2022/23,West Midlands,Gross internal area,Total gross internal area (m2),294932.737
Coventry University,2022/23,West Midlands,Gross internal area,Non-residential (m2),215634.818
Coventry University,2022/23,West Midlands,Gross internal area,Residential (m2),79297.919
Cranfield University,2022/23,East of England,Gross internal area,Total gross internal area (m2),193061.914
Cranfield University,2022/23,East of England,Gross internal area,Non-residential (m2),119078.714
Cranfield University,2022/23,East of England,Gross internal area,Residential (m2),73983.2
University for the Creative Arts,2022/23,South East,Gross internal area,Total gross internal area (m2),91760.56
University for the Creative Arts,2022/23,South East,Gross internal area,Non-residential (m2),59585.97
University for the Creative Arts,2022/23,South East,Gross internal area,Residential (m2),32174.59
University of Cumbria,2022/23,North West,Gross internal area,Total gross internal area (m2),68982.87
University of Cumbria,2022/23,North West,Gross internal area,Non-residential (m2),55208.87
University of Cumbria,2022/23,North West,Gross internal area,Residential (m2),13774
De Montfort University,2022/23,East Midlands,Gross internal area,Total gross internal area (m2),180889.41
De Montfort University,2022/23,East Midlands,Gross internal area,Non-residential (m2),168279.23
De Montfort University,2022/23,East Midlands,Gross internal area,Residential (m2),12610.18
University of Derby,2022/23,East Midlands,Gross internal area,Total gross internal area (m2),157188.51
University of Derby,2022/23,East Midlands,Gross internal area,Non-residential (m2),110760.21
University of Derby,2022/23,East Midlands,Gross internal area,Residential (m2),46428.3
The University of Dundee,2022/23,Scotland,Gross internal area,Total gross internal area (m2),201910
The University of Dundee,2022/23,Scotland,Gross internal area,Non-residential (m2),201910
The University of Dundee,2022/23,Scotland,Gross internal area,Residential (m2),0
University of Durham,2022/23,North East,Gross internal area,Total gross internal area (m2),408005.57
University of Durham,2022/23,North East,Gross internal area,Non-residential (m2),262294.51
University of Durham,2022/23,North East,Gross internal area,Residential (m2),145711.06
The University of East Anglia,2022/23,East of England,Gross internal area,Total gross internal area (m2),285317.41
The University of East Anglia,2022/23,East of England,Gross internal area,Non-residential (m2),181030.09
The University of East Anglia,2022/23,East of England,Gross internal area,Residential (m2),104287.32
The University of East London,2022/23,London,Gross internal area,Total gross internal area (m2),119799.47
The University of East London,2022/23,London,Gross internal area,Non-residential (m2),91393.66
The University of East London,2022/23,London,Gross internal area,Residential (m2),28405.81
Edge Hill University,2022/23,North West,Gross internal area,Total gross internal area (m2),133898.04
Edge Hill University,2022/23,North West,Gross internal area,Non-residential (m2),85287.88
Edge Hill University,2022/23,North West,Gross internal area,Residential (m2),48610.16
Edinburgh Napier University,2022/23,Scotland,Gross internal area,Total gross internal area (m2),111456.398
Edinburgh Napier University,2022/23,Scotland,Gross internal area,Non-residential (m2),73636.398
Edinburgh Napier University,2022/23,Scotland,Gross internal area,Residential (m2),37820
The University of Edinburgh,2022/23,Scotland,Gross internal area,Total gross internal area (m2),931987
The University of Edinburgh,2022/23,Scotland,Gross internal area,Non-residential (m2),719120
The University of Edinburgh,2022/23,Scotland,Gross internal area,Residential (m2),212867
The University of Essex,2022/23,East of England,Gross internal area,Total gross internal area (m2),286606.71
The University of Essex,2022/23,East of England,Gross internal area,Non-residential (m2),181099
The University of Essex,2022/23,East of England,Gross internal area,Residential (m2),105507.71
The University of Exeter,2022/23,South West,Gross internal area,Total gross internal area (m2),304124.66
The University of Exeter,2022/23,South West,Gross internal area,Non-residential (m2),211111.27
The University of Exeter,2022/23,South West,Gross internal area,Residential (m2),93013.39
Falmouth University,2022/23,South West,Gross internal area,Total gross internal area (m2),80577.887
Falmouth University,2022/23,South West,Gross internal area,Non-residential (m2),45647.949
Falmouth University,2022/23,South West,Gross internal area,Residential (m2),34929.938
The National Film and Television School,2022/23,South East,Gross internal area,Total gross internal area (m2),12424.08
The National Film and Television School,2022/23,South East,Gross internal area,Non-residential (m2),12424.08
The National Film and Television School,2022/23,South East,Gross internal area,Residential (m2),0
Glasgow Caledonian University,2022/23,Scotland,Gross internal area,Total gross internal area (m2),104888.96
Glasgow Caledonian University,2022/23,Scotland,Gross internal area,Non-residential (m2),91019.84
Glasgow Caledonian University,2022/23,Scotland,Gross internal area,Residential (m2),13869.12
Glasgow School of Art,2022/23,Scotland,Gross internal area,Total gross internal area (m2),65508
Glasgow School of Art,2022/23,Scotland,Gross internal area,Non-residential (m2),54447
Glasgow School of Art,2022/23,Scotland,Gross internal area,Residential (m2),11061
The University of Glasgow,2022/23,Scotland,Gross internal area,Total gross internal area (m2),513238.62
The University of Glasgow,2022/23,Scotland,Gross internal area,Non-residential (m2),417677.75
The University of Glasgow,2022/23,Scotland,Gross internal area,Residential (m2),95560.87
University of Gloucestershire,2022/23,South West,Gross internal area,Total gross internal area (m2),91966.944
University of Gloucestershire,2022/23,South West,Gross internal area,Non-residential (m2),55900.374
University of Gloucestershire,2022/23,South West,Gross internal area,Residential (m2),36066.57
Goldsmiths College,2022/23,London,Gross internal area,Total gross internal area (m2),79780.66
Goldsmiths College,2022/23,London,Gross internal area,Non-residential (m2),71922.66
Goldsmiths College,2022/23,London,Gross internal area,Residential (m2),7858
The University of Greenwich,2022/23,London,Gross internal area,Total gross internal area (m2),145764.41
The University of Greenwich,2022/23,London,Gross internal area,Non-residential (m2),131622.43
The University of Greenwich,2022/23,London,Gross internal area,Residential (m2),14141.98
Guildhall School of Music and Drama,2022/23,London,Gross internal area,Total gross internal area (m2),33817.04
Guildhall School of Music and Drama,2022/23,London,Gross internal area,Non-residential (m2),27059.48
Guildhall School of Music and Drama,2022/23,London,Gross internal area,Residential (m2),6757.56
Heriot-Watt University,2022/23,Scotland,Gross internal area,Total gross internal area (m2),234427.87
Heriot-Watt University,2022/23,Scotland,Gross internal area,Non-residential (m2),166902.8
Heriot-Watt University,2022/23,Scotland,Gross internal area,Residential (m2),67525.07
University of Hertfordshire,2022/23,East of England,Gross internal area,Total gross internal area (m2),192641
University of Hertfordshire,2022/23,East of England,Gross internal area,Non-residential (m2),164546
University of Hertfordshire,2022/23,East of England,Gross internal area,Residential (m2),28095
The University of Huddersfield,2022/23,Yorkshire and The Humber,Gross internal area,Total gross internal area (m2),125546.52
The University of Huddersfield,2022/23,Yorkshire and The Humber,Gross internal area,Non-residential (m2),125546.52
The University of Huddersfield,2022/23,Yorkshire and The Humber,Gross internal area,Residential (m2),0
The University of Hull,2022/23,Yorkshire and The Humber,Gross internal area,Total gross internal area (m2),200774
The University of Hull,2022/23,Yorkshire and The Humber,Gross internal area,Non-residential (m2),159455
The University of Hull,2022/23,Yorkshire and The Humber,Gross internal area,Residential (m2),41319
"Imperial College of Science, Technology and Medicine",2022/23,London,Gross internal area,Total gross internal area (m2),591541
"Imperial College of Science, Technology and Medicine",2022/23,London,Gross internal area,Non-residential (m2),481293
"Imperial College of Science, Technology and Medicine",2022/23,London,Gross internal area,Residential (m2),110248
Keele University,2022/23,West Midlands,Gross internal area,Total gross internal area (m2),175855.5
Keele University,2022/23,West Midlands,Gross internal area,Non-residential (m2),113771.7
Keele University,2022/23,West Midlands,Gross internal area,Residential (m2),62083.8
The University of Kent,2022/23,South East,Gross internal area,Total gross internal area (m2),255556.22
The University of Kent,2022/23,South East,Gross internal area,Non-residential (m2),177493.73
The University of Kent,2022/23,South East,Gross internal area,Residential (m2),78062.49
King's College London,2022/23,London,Gross internal area,Total gross internal area (m2),443606.782
King's College London,2022/23,London,Gross internal area,Non-residential (m2),404401.776
King's College London,2022/23,London,Gross internal area,Residential (m2),39205.006
Kingston University,2022/23,London,Gross internal area,Total gross internal area (m2),162510.241
Kingston University,2022/23,London,Gross internal area,Non-residential (m2),120356.211
Kingston University,2022/23,London,Gross internal area,Residential (m2),42154.03
The University of Lancaster,2022/23,North West,Gross internal area,Total gross internal area (m2),332733
The University of Lancaster,2022/23,North West,Gross internal area,Non-residential (m2),177142
The University of Lancaster,2022/23,North West,Gross internal area,Residential (m2),155591
Leeds Arts University,2022/23,Yorkshire and The Humber,Gross internal area,Total gross internal area (m2),23391
Leeds Arts University,2022/23,Yorkshire and The Humber,Gross internal area,Non-residential (m2),23391
Leeds Arts University,2022/23,Yorkshire and The Humber,Gross internal area,Residential (m2),0
Leeds Beckett University,2022/23,Yorkshire and The Humber,Gross internal area,Total gross internal area (m2),229749.8
Leeds Beckett University,2022/23,Yorkshire and The Humber,Gross internal area,Non-residential (m2),157233.6
Leeds Beckett University,2022/23,Yorkshire and The Humber,Gross internal area,Residential (m2),72516.2
The University of Leeds,2022/23,Yorkshire and The Humber,Gross internal area,Total gross internal area (m2),614739.644
The University of Leeds,2022/23,Yorkshire and The Humber,Gross internal area,Non-residential (m2),477474.339
The University of Leeds,2022/23,Yorkshire and The Humber,Gross internal area,Residential (m2),137265.305
Leeds Trinity University,2022/23,Yorkshire and The Humber,Gross internal area,Total gross internal area (m2),42541.47
Leeds Trinity University,2022/23,Yorkshire and The Humber,Gross internal area,Non-residential (m2),25966.01
Leeds Trinity University,2022/23,Yorkshire and The Humber,Gross internal area,Residential (m2),16575.46
The University of Leicester,2022/23,East Midlands,Gross internal area,Total gross internal area (m2),378259.82
The University of Leicester,2022/23,East Midlands,Gross internal area,Non-residential (m2),239864.67
The University of Leicester,2022/23,East Midlands,Gross internal area,Residential (m2),138395.15
The University of Lincoln,2022/23,East Midlands,Gross internal area,Total gross internal area (m2),255849.026
The University of Lincoln,2022/23,East Midlands,Gross internal area,Non-residential (m2),140902.929
The University of Lincoln,2022/23,East Midlands,Gross internal area,Residential (m2),114946.097
Liverpool Hope University,2022/23,North West,Gross internal area,Total gross internal area (m2),83267
Liverpool Hope University,2022/23,North West,Gross internal area,Non-residential (m2),54165
Liverpool Hope University,2022/23,North West,Gross internal area,Residential (m2),29102
Liverpool John Moores University,2022/23,North West,Gross internal area,Total gross internal area (m2),153812.1
Liverpool John Moores University,2022/23,North West,Gross internal area,Non-residential (m2),153812.1
Liverpool John Moores University,2022/23,North West,Gross internal area,Residential (m2),0
The University of Liverpool,2022/23,North West,Gross internal area,Total gross internal area (m2),498462
The University of Liverpool,2022/23,North West,Gross internal area,Non-residential (m2),360631
The University of Liverpool,2022/23,North West,Gross internal area,Residential (m2),137831
Liverpool School of Tropical Medicine,2022/23,North West,Gross internal area,Total gross internal area (m2),27514.13
Liverpool School of Tropical Medicine,2022/23,North West,Gross internal area,Non-residential (m2),27514.13
Liverpool School of Tropical Medicine,2022/23,North West,Gross internal area,Residential (m2),0
"University of the Arts, London",2022/23,London,Gross internal area,Total gross internal area (m2),197065.084
"University of the Arts, London",2022/23,London,Gross internal area,Non-residential (m2),171655.774
"University of the Arts, London",2022/23,London,Gross internal area,Residential (m2),25409.31
University of London (Institutes and activities),2022/23,London,Gross internal area,Total gross internal area (m2),208019
University of London (Institutes and activities),2022/23,London,Gross internal area,Non-residential (m2),78600
University of London (Institutes and activities),2022/23,London,Gross internal area,Residential (m2),129419
London Metropolitan University,2022/23,London,Gross internal area,Total gross internal area (m2),83223.78
London Metropolitan University,2022/23,London,Gross internal area,Non-residential (m2),83223.78
London Metropolitan University,2022/23,London,Gross internal area,Residential (m2),0
London South Bank University,2022/23,London,Gross internal area,Total gross internal area (m2),150935.59
London South Bank University,2022/23,London,Gross internal area,Non-residential (m2),117696.02
London South Bank University,2022/23,London,Gross internal area,Residential (m2),33239.57
London School of Economics and Political Science,2022/23,London,Gross internal area,Total gross internal area (m2),213208.656
London School of Economics and Political Science,2022/23,London,Gross internal area,Non-residential (m2),155640.306
London School of Economics and Political Science,2022/23,London,Gross internal area,Residential (m2),57568.35
London School of Hygiene and Tropical Medicine,2022/23,London,Gross internal area,Total gross internal area (m2),25486.335
London School of Hygiene and Tropical Medicine,2022/23,London,Gross internal area,Non-residential (m2),25486.335
London School of Hygiene and Tropical Medicine,2022/23,London,Gross internal area,Residential (m2),0
Loughborough University,2022/23,East Midlands,Gross internal area,Total gross internal area (m2),328368.26
Loughborough University,2022/23,East Midlands,Gross internal area,Non-residential (m2),232529.81
Loughborough University,2022/23,East Midlands,Gross internal area,Residential (m2),95838.45
The Manchester Metropolitan University,2022/23,North West,Gross internal area,Total gross internal area (m2),268491.45
The Manchester Metropolitan University,2022/23,North West,Gross internal area,Non-residential (m2),210063.62
The Manchester Metropolitan University,2022/23,North West,Gross internal area,Residential (m2),58427.83
The University of Manchester,2022/23,North West,Gross internal area,Total gross internal area (m2),889095.19
The University of Manchester,2022/23,North West,Gross internal area,Non-residential (m2),707963.62
The University of Manchester,2022/23,North West,Gross internal area,Residential (m2),181131.57
Middlesex University,2022/23,London,Gross internal area,Total gross internal area (m2),92771
Middlesex University,2022/23,London,Gross internal area,Non-residential (m2),90559
Middlesex University,2022/23,London,Gross internal area,Residential (m2),2212
Newcastle University,2022/23,North East,Gross internal area,Total gross internal area (m2),487550.31
Newcastle University,2022/23,North East,Gross internal area,Non-residential (m2),380526.5
Newcastle University,2022/23,North East,Gross internal area,Residential (m2),107023.81
The University of Northampton,2022/23,East Midlands,Gross internal area,Total gross internal area (m2),98960
The University of Northampton,2022/23,East Midlands,Gross internal area,Non-residential (m2),40858
The University of Northampton,2022/23,East Midlands,Gross internal area,Residential (m2),58102
University of Northumbria at Newcastle,2022/23,North East,Gross internal area,Total gross internal area (m2),244175
University of Northumbria at Newcastle,2022/23,North East,Gross internal area,Non-residential (m2),167739
University of Northumbria at Newcastle,2022/23,North East,Gross internal area,Residential (m2),76436
Norwich University of the Arts,2022/23,East of England,Gross internal area,Total gross internal area (m2),31256
Norwich University of the Arts,2022/23,East of England,Gross internal area,Non-residential (m2),26941
Norwich University of the Arts,2022/23,East of England,Gross internal area,Residential (m2),4315
University of Nottingham,2022/23,East Midlands,Gross internal area,Total gross internal area (m2),717601.13
University of Nottingham,2022/23,East Midlands,Gross internal area,Non-residential (m2),585798.79
University of Nottingham,2022/23,East Midlands,Gross internal area,Residential (m2),131802.34
The Nottingham Trent University,2022/23,East Midlands,Gross internal area,Total gross internal area (m2),242988.82
The Nottingham Trent University,2022/23,East Midlands,Gross internal area,Non-residential (m2),226838.7
The Nottingham Trent University,2022/23,East Midlands,Gross internal area,Residential (m2),16150.12
The Open University,2022/23,South East,Gross internal area,Total gross internal area (m2),129733
The Open University,2022/23,South East,Gross internal area,Non-residential (m2),129733
The Open University,2022/23,South East,Gross internal area,Residential (m2),0
Oxford Brookes University,2022/23,South East,Gross internal area,Total gross internal area (m2),215418
Oxford Brookes University,2022/23,South East,Gross internal area,Non-residential (m2),117200
Oxford Brookes University,2022/23,South East,Gross internal area,Residential (m2),98218
The University of Oxford,2022/23,South East,Gross internal area,Total gross internal area (m2),676125.098
The University of Oxford,2022/23,South East,Gross internal area,Non-residential (m2),676125.098
The University of Oxford,2022/23,South East,Gross internal area,Residential (m2),0
University of Plymouth,2022/23,South West,Gross internal area,Total gross internal area (m2),185845.8
University of Plymouth,2022/23,South West,Gross internal area,Non-residential (m2),185845.8
University of Plymouth,2022/23,South West,Gross internal area,Residential (m2),0
The University of Portsmouth,2022/23,South East,Gross internal area,Total gross internal area (m2),178587.14
The University of Portsmouth,2022/23,South East,Gross internal area,Non-residential (m2),155332.58
The University of Portsmouth,2022/23,South East,Gross internal area,Residential (m2),23254.56
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross internal area,Total gross internal area (m2),46416.58
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross internal area,Non-residential (m2),24280.54
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross internal area,Residential (m2),22136.04
Queen Mary University of London,2022/23,London,Gross internal area,Total gross internal area (m2),265448.3
Queen Mary University of London,2022/23,London,Gross internal area,Non-residential (m2),197951.66
Queen Mary University of London,2022/23,London,Gross internal area,Residential (m2),67496.64
The University of Reading,2022/23,South East,Gross internal area,Total gross internal area (m2),204502.82
The University of Reading,2022/23,South East,Gross internal area,Non-residential (m2),204502.82
The University of Reading,2022/23,South East,Gross internal area,Residential (m2),0
Robert Gordon University,2022/23,Scotland,Gross internal area,Total gross internal area (m2),106562
Robert Gordon University,2022/23,Scotland,Gross internal area,Non-residential (m2),88362
Robert Gordon University,2022/23,Scotland,Gross internal area,Residential (m2),18200
Rose Bruford College of Theatre and Performance,2022/23,London,Gross internal area,Total gross internal area (m2),13707
Rose Bruford College of Theatre and Performance,2022/23,London,Gross internal area,Non-residential (m2),9094
Rose Bruford College of Theatre and Performance,2022/23,London,Gross internal area,Residential (m2),4613
Royal College of Art,2022/23,London,Gross internal area,Total gross internal area (m2),51081.57
Royal College of Art,2022/23,London,Gross internal area,Non-residential (m2),51081.57
Royal College of Art,2022/23,London,Gross internal area,Residential (m2),0
Royal College of Music,2022/23,London,Gross internal area,Total gross internal area (m2),16670.2
Royal College of Music,2022/23,London,Gross internal area,Non-residential (m2),16670.2
Royal College of Music,2022/23,London,Gross internal area,Residential (m2),0
The Royal Central School of Speech and Drama,2022/23,London,Gross internal area,Total gross internal area (m2),10634
The Royal Central School of Speech and Drama,2022/23,London,Gross internal area,Non-residential (m2),10634
The Royal Central School of Speech and Drama,2022/23,London,Gross internal area,Residential (m2),0
Royal Holloway and Bedford New College,2022/23,South East,Gross internal area,Total gross internal area (m2),187735.22
Royal Holloway and Bedford New College,2022/23,South East,Gross internal area,Non-residential (m2),95538.46
Royal Holloway and Bedford New College,2022/23,South East,Gross internal area,Residential (m2),92196.76
The University of St. Andrews,2022/23,Scotland,Gross internal area,Total gross internal area (m2),286622.08
The University of St. Andrews,2022/23,Scotland,Gross internal area,Non-residential (m2),162601.51
The University of St. Andrews,2022/23,Scotland,Gross internal area,Residential (m2),124020.57
"St George's, University of London",2022/23,London,Gross internal area,Total gross internal area (m2),70459.12
"St George's, University of London",2022/23,London,Gross internal area,Non-residential (m2),56533.92
"St George's, University of London",2022/23,London,Gross internal area,Residential (m2),13925.2
St Mary's University College,2022/23,Northern Ireland,Gross internal area,Total gross internal area (m2),14810
St Mary's University College,2022/23,Northern Ireland,Gross internal area,Non-residential (m2),14810
St Mary's University College,2022/23,Northern Ireland,Gross internal area,Residential (m2),0
"St Mary's University, Twickenham",2022/23,London,Gross internal area,Total gross internal area (m2),48420
"St Mary's University, Twickenham",2022/23,London,Gross internal area,Non-residential (m2),31841
"St Mary's University, Twickenham",2022/23,London,Gross internal area,Residential (m2),16579
The University of Salford,2022/23,North West,Gross internal area,Total gross internal area (m2),154250
The University of Salford,2022/23,North West,Gross internal area,Non-residential (m2),154250
The University of Salford,2022/23,North West,Gross internal area,Residential (m2),0
SOAS University of London,2022/23,London,Gross internal area,Total gross internal area (m2),39718.3
SOAS University of London,2022/23,London,Gross internal area,Non-residential (m2),39718.3
SOAS University of London,2022/23,London,Gross internal area,Residential (m2),0
SRUC,2022/23,Scotland,Gross internal area,Total gross internal area (m2),128735
SRUC,2022/23,Scotland,Gross internal area,Non-residential (m2),120077
SRUC,2022/23,Scotland,Gross internal area,Residential (m2),8658
Sheffield Hallam University,2022/23,Yorkshire and The Humber,Gross internal area,Total gross internal area (m2),196529.9
Sheffield Hallam University,2022/23,Yorkshire and The Humber,Gross internal area,Non-residential (m2),196529.9
Sheffield Hallam University,2022/23,Yorkshire and The Humber,Gross internal area,Residential (m2),0
The University of Sheffield,2022/23,Yorkshire and The Humber,Gross internal area,Total gross internal area (m2),524719.68
The University of Sheffield,2022/23,Yorkshire and The Humber,Gross internal area,Non-residential (m2),477594.45
The University of Sheffield,2022/23,Yorkshire and The Humber,Gross internal area,Residential (m2),47125.23
Solent University,2022/23,South East,Gross internal area,Total gross internal area (m2),105689
Solent University,2022/23,South East,Gross internal area,Non-residential (m2),76192
Solent University,2022/23,South East,Gross internal area,Residential (m2),29497
The University of Southampton,2022/23,South East,Gross internal area,Total gross internal area (m2),474677.559
The University of Southampton,2022/23,South East,Gross internal area,Non-residential (m2),304133.617
The University of Southampton,2022/23,South East,Gross internal area,Residential (m2),170543.942
Staffordshire University,2022/23,West Midlands,Gross internal area,Total gross internal area (m2),107239
Staffordshire University,2022/23,West Midlands,Gross internal area,Non-residential (m2),87139
Staffordshire University,2022/23,West Midlands,Gross internal area,Residential (m2),20100
The University of Stirling,2022/23,Scotland,Gross internal area,Total gross internal area (m2),177543
The University of Stirling,2022/23,Scotland,Gross internal area,Non-residential (m2),105806
The University of Stirling,2022/23,Scotland,Gross internal area,Residential (m2),71737
University of St Mark and St John,2022/23,South West,Gross internal area,Total gross internal area (m2),34988
University of St Mark and St John,2022/23,South West,Gross internal area,Non-residential (m2),24638
University of St Mark and St John,2022/23,South West,Gross internal area,Residential (m2),10350
The University of Strathclyde,2022/23,Scotland,Gross internal area,Total gross internal area (m2),372451
The University of Strathclyde,2022/23,Scotland,Gross internal area,Non-residential (m2),334270
The University of Strathclyde,2022/23,Scotland,Gross internal area,Residential (m2),38181
University of Suffolk,2022/23,East of England,Gross internal area,Total gross internal area (m2),31496.8
